10	10529
20	2595
40	5723
80	16490
160	59771
320	232194
640	930087
1280	2865638
2560	9528069
5120	31927621
10240	118215663
20480	496376905
40960	1919198714
81920	7771291181
163840	33566627155
327680	141622069306
