x,f,df,F
0,0,0,0
0.001001001001001,1.00200300400501e-06,0.002002002002002,3.34335336671674e-10
0.002002002002002,4.00801201602002e-06,0.004004004004004,2.67468269337339e-09
0.003003003003003,9.01802703604505e-06,0.00600600600600601,9.02705409013519e-09
0.004004004004004,1.60320480640801e-05,0.00800800800800801,2.13974615469871e-08
0.005005005005005,2.50500751001251e-05,0.01001001001001,4.17919170839592e-08
0.00600600600600601,3.60721081441802e-05,0.012012012012012,7.22164327210815e-08
0.00700700700700701,4.90981471962453e-05,0.014014014014014,1.14677020478384e-07
0.00800800800800801,6.41281922563204e-05,0.016016016016016,1.71179692375897e-07
0.00900900900900901,8.11622433244055e-05,0.018018018018018,2.4373046043365e-07
0.01001001001001,0.000100200300400501,0.02002002002002,3.34335336671674e-07
0.011011011011011,0.000121242363484606,0.022022022022022,4.45000333109998e-07
0.012012012012012,0.000144288432576721,0.024024024024024,5.77731461768652e-07
0.013013013013013,0.000169338507676846,0.026026026026026,7.34534734667667e-07
0.014014014014014,0.000196392588784981,0.028028028028028,9.17416163827072e-07
0.015015015015015,0.000225450675901126,0.03003003003003,1.1283817612669e-06
0.016016016016016,0.000256512769025282,0.032032032032032,1.36943753900718e-06
0.017017017017017,0.000289578868157447,0.034034034034034,1.64258950906793e-06
0.018018018018018,0.000324648973297622,0.036036036036036,1.9498436834692e-06
0.019019019019019,0.000361723084445807,0.038038038038038,2.29320607423101e-06
0.02002002002002,0.000400801201602002,0.04004004004004,2.67468269337339e-06
0.021021021021021,0.000441883324766208,0.042042042042042,3.09627955291637e-06
0.022022022022022,0.000484969453938423,0.044044044044044,3.56000266487998e-06
0.023023023023023,0.000530059589118648,0.046046046046046,4.06785804128425e-06
0.024024024024024,0.000577153730306883,0.048048048048048,4.62185169414922e-06
0.025025025025025,0.000626251877503129,0.05005005005005,5.2239896354949e-06
0.026026026026026,0.000677354030707384,0.0520520520520521,5.87627787734134e-06
0.027027027027027,0.00073046018991965,0.0540540540540541,6.58072243170856e-06
0.028028028028028,0.000785570355139925,0.0560560560560561,7.33932931061658e-06
0.029029029029029,0.00084268452636821,0.0580580580580581,8.15410452608545e-06
0.03003003003003,0.000901802703604505,0.0600600600600601,9.02705409013519e-06
0.031031031031031,0.000962924886848811,0.0620620620620621,9.96018401478583e-06
0.032032032032032,0.00102605107610113,0.0640640640640641,1.09555003120574e-05
0.033033033033033,0.00109118127136145,0.0660660660660661,1.20150089939699e-05
0.034034034034034,0.00115831547262979,0.0680680680680681,1.31407160725435e-05
0.035035035035035,0.00122745367990613,0.0700700700700701,1.4334627559798e-05
0.036036036036036,0.00129859589319049,0.0720720720720721,1.55987494677536e-05
0.037037037037037,0.00137174211248285,0.0740740740740741,1.69350878084303e-05
0.038038038038038,0.00144689233778323,0.0760760760760761,1.83456485938481e-05
0.039039039039039,0.00152404656909161,0.0780780780780781,1.9832437836027e-05
0.04004004004004,0.00160320480640801,0.0800800800800801,2.13974615469871e-05
0.041041041041041,0.00168436704973242,0.0820820820820821,2.30427257387484e-05
0.042042042042042,0.00176753329906483,0.0840840840840841,2.4770236423331e-05
0.043043043043043,0.00185270355440526,0.0860860860860861,2.65819996127548e-05
0.044044044044044,0.00193987781575369,0.0880880880880881,2.84800213190398e-05
0.045045045045045,0.00202905608311014,0.0900900900900901,3.04663075542063e-05
0.046046046046046,0.00212023835647459,0.0920920920920921,3.2542864330274e-05
0.047047047047047,0.00221342463584706,0.0940940940940941,3.47116976592632e-05
0.048048048048048,0.00230861492122753,0.0960960960960961,3.69748135531937e-05
0.049049049049049,0.00240580921261602,0.0980980980980981,3.93342180240857e-05
0.05005005005005,0.00250500751001251,0.1001001001001,4.17919170839592e-05
0.0510510510510511,0.00260620981341702,0.102102102102102,4.43499167448342e-05
0.0520520520520521,0.00270941612282954,0.104104104104104,4.70102230187307e-05
0.0530530530530531,0.00281462643825006,0.106106106106106,4.97748419176688e-05
0.0540540540540541,0.0029218407596786,0.108108108108108,5.26457794536684e-05
0.0550550550550551,0.00303105908711514,0.11011011011011,5.56250416387497e-05
0.0560560560560561,0.0031422814205597,0.112112112112112,5.87146344849326e-05
0.0570570570570571,0.00325550776001226,0.114114114114114,6.19165640042373e-05
0.0580580580580581,0.00337073810547284,0.116116116116116,6.52328362086836e-05
0.0590590590590591,0.00348797245694143,0.118118118118118,6.86654571102917e-05
0.0600600600600601,0.00360721081441802,0.12012012012012,7.22164327210815e-05
0.0610610610610611,0.00372845317790263,0.122122122122122,7.58877690530732e-05
0.0620620620620621,0.00385169954739524,0.124124124124124,7.96814721182867e-05
0.0630630630630631,0.00397694992289587,0.126126126126126,8.3599547928742e-05
0.0640640640640641,0.0041042043044045,0.128128128128128,8.76440024964592e-05
0.0650650650650651,0.00423346269192115,0.13013013013013,9.18168418334584e-05
0.0660660660660661,0.00436472508544581,0.132132132132132,9.61200719517595e-05
0.0670670670670671,0.00449799148497847,0.134134134134134,0.000100555698863383
0.0680680680680681,0.00463326189051915,0.136136136136136,0.000105125728580348
0.0690690690690691,0.00477053630206783,0.138138138138138,0.000109832167114675
0.0700700700700701,0.00490981471962453,0.14014014014014,0.000114677020478384
0.0710710710710711,0.00505109714318923,0.142142142142142,0.000119662294683495
0.0720720720720721,0.00519438357276195,0.144144144144144,0.000124789995742029
0.0730730730730731,0.00533967400834268,0.146146146146146,0.000130062129666005
0.0740740740740741,0.00548696844993141,0.148148148148148,0.000135480702467442
0.0750750750750751,0.00563626689752816,0.15015015015015,0.000141047720158362
