100	28394
200	34447
300	54337
400	81143
500	104080
600	128421
700	152945
800	177271
900	201622
1000	227503
1100	253763
1200	251498
1300	304024
1400	331533
1500	357561
1600	385518
1700	385556
1800	406852
1900	424429
2000	437870
2100	472952
2200	568507
2300	582578
2400	662646
2500	663794
2600	630592
2700	716017
2800	684327
2900	712043
3000	738688
3100	766687
3200	904568
3300	937026
3400	963102
3500	1003313
3600	890924
3700	848723
3800	880326
3900	940187
4000	934957
4100	953895
4200	984257
4300	1534370
4400	1292401
4500	1257837
4600	1225684
4700	1252100
4800	1259505
4900	1440968
5000	1446069
5100	1479231
5200	1534719
5300	1539678
5400	1508492
5500	1565597
5600	1563227
5700	1552839
5800	1547098
5900	1549002
6000	1588052
6100	1531219
6200	1622145
6300	1832859
6400	1849296
6500	1695963
6600	1894319
6700	1954378
6800	1954610
6900	2061403
7000	1979010
7100	2071310
7200	2186848
7300	2238575
7400	2067900
7500	1910247
7600	1917063
7700	1896648
7800	15363247
7900	2237041
8000	2313420
8100	2314189
8200	11371373
8300	2575125
8400	2458462
8500	2731867
8600	17400313
8700	2459737
8800	2538558
8900	2566930
9000	11656226
9100	2659030
9200	2619355
9300	2593780
9400	14014074
9500	3564528
9600	2884615
9700	13988289
9800	5532826
9900	2647717
10000	2985077
10100	21595569
10200	3034700
10300	3260023
10400	20902002
10500	4474593
10600	4044395
10700	21559084
10800	3069648
10900	2946770
11000	14468319
11100	3237947
11200	3101845
11300	14293425
11400	3504371
11500	3448031
11600	13373796
11700	3006478
11800	3202976
11900	14306253
12000	3859373
12100	4172784
12200	15866059
12300	5105467
12400	22767836
12500	5166720
12600	4808978
12700	19888362
12800	4326802
12900	24148900
13000	3367511
13100	4295799
13200	20859472
13300	3825871
13400	16052713
13500	4017995
13600	4115465
13700	15255387
13800	3908151
13900	15454977
14000	4134547
14100	14898745
14200	4286591
14300	4895962
14400	17324433
14500	4355724
14600	28576003
14700	5385103
14800	21956561
14900	5036803
15000	18531826
15100	4351013
15200	4575649
15300	16716542
15400	4751358
15500	14695328
15600	4517833
15700	15474015
15800	4613062
15900	18038650
16000	4111434
16100	18317532
16200	5037429
16300	25970624
16400	17969602
16500	30109359
16600	5198823
16700	21403445
16800	6669094
16900	24876239
17000	5056454
17100	17039132
17200	7181431
17300	20828729
17400	7065398
17500	20597300
17600	6448228
17700	25426375
17800	5650454
17900	23513428
18000	5461479
18100	7950875
18200	30929064
18300	8664837
18400	19051565
18500	5691589
18600	20932201
18700	8707886
18800	26549690
18900	28198380
19000	5925610
19100	22577320
19200	6149785
19300	29482000
19400	19517988
19500	6979296
19600	18709418
19700	8513618
19800	21530895
19900	5268441
20000	9257694
20100	26643424
20200	8904964
20300	24037045
20400	23385639
20500	6787026
20600	17771088
20700	21642481
20800	6408923
20900	15309596
21000	25307349
21100	8997608
21200	22429828
21300	6303517
21400	10817783
21500	29710122
21600	24786941
21700	7033574
21800	20078812
21900	17921866
22000	7944560
22100	18982859
22200	19008799
22300	7123555
22400	24438753
22500	27107786
22600	21362939
22700	6761656
22800	19592319
22900	50892265
23000	8234582
23100	8033724
23200	36147760
23300	32655326
23400	8872996
23500	28199580
23600	23706418
23700	25509484
23800	7217324
23900	33930339
24000	29942857
24100	7320923
24200	12179990
24300	30109003
24400	32142580
24500	26206693
24600	8086759
24700	21954046
24800	20829926
24900	20784345
25000	13576272
25100	29602272
25200	21071859
25300	23153490
25400	24621046
25500	10144664
25600	29539105
25700	23244645
25800	22151948
25900	9156166
26000	22972557
26100	24766660
26200	23700836
26300	23407044
26400	12220609
26500	25004854
26600	9864451
26700	26978950
26800	27341247
26900	33198206
27000	21265234
27100	23529724
27200	8818460
27300	25624050
27400	25769562
27500	24839806
27600	21939331
27700	22134293
27800	18711355
27900	21591197
28000	9856719
28100	38852412
28200	44138300
28300	35945562
28400	38281939
28500	31098839
28600	33295146
28700	39824402
28800	12562418
28900	29889141
29000	29307104
29100	26077971
29200	27066217
29300	24751625
29400	36235611
29500	31563108
29600	31068079
29700	29133043
29800	24764567
29900	13922821
30000	27058599
30100	27007508
30200	30255997
30300	22906710
30400	23905395
30500	24937974
30600	34165164
30700	25219362
30800	22057315
30900	25523283
31000	21699457
31100	20838435
31200	19782558
31300	23364073
31400	26549532
31500	24430446
31600	27276296
31700	26988523
31800	23258396
31900	25942339
32000	27076999
32100	23075424
32200	25917117
32300	25859874
32400	21409492
32500	27933114
32600	24492780
32700	21565278
32800	33739794
32900	24705574
33000	30356512
33100	27454906
33200	28264527
33300	22422076
33400	21394207
33500	21294764
33600	22718856
33700	24180694
33800	25158944
33900	29060922
34000	50477446
34100	24198990
34200	28579475
34300	26773948
34400	23056046
34500	45039774
34600	30904625
34700	39814863
34800	34298316
34900	45260242
35000	33453872
35100	40072806
35200	54516303
35300	24783465
35400	26408499
35500	28737769
35600	40263549
35700	38463515
35800	37525805
35900	45393432
36000	23592118
36100	35363707
36200	30679953
36300	30328329
36400	28099250
36500	34910246
36600	30742471
36700	27291905
36800	25117821
36900	25923556
37000	32825376
37100	44886682
37200	29572827
37300	32513085
37400	24976109
37500	25371367
37600	44335573
37700	25617260
37800	27193470
37900	24436800
38000	34181586
38100	50384835
38200	26694037
38300	29908523
38400	28066774
38500	36688313
38600	47381241
38700	40404037
38800	45990323
38900	28589473
39000	39915461
39100	31094836
39200	23328514
39300	24681627
39400	26499765
39500	44685909
39600	21674826
39700	24426326
39800	33361570
39900	38218327
40000	31808651
40100	32809745
40200	29316912
40300	37230273
40400	33352889
40500	29738912
40600	30069353
40700	36840217
40800	26903951
40900	32070865
41000	45700125
41100	27227617
41200	30226260
41300	39529223
41400	29557648
41500	28635795
41600	38402880
41700	25651899
41800	30835994
41900	48733083
42000	26215235
42100	29312448
42200	29610740
42300	43243161
42400	30145358
42500	25581957
42600	37845769
42700	26851949
42800	45730033
42900	24462215
43000	26799664
43100	36170052
43200	28909178
43300	28521010
43400	39191263
43500	25170521
43600	38385667
43700	28273662
43800	32410632
43900	37138593
44000	34635656
44100	52288578
44200	33743820
44300	36543230
44400	57462322
44500	30664833
44600	35004329
44700	52354792
44800	40600602
44900	33880368
45000	53554053
45100	39105332
45200	46515472
45300	30760777
45400	41514537
45500	25968971
45600	24993531
45700	42223858
45800	27893614
45900	47864059
46000	27509456
46100	37834043
46200	27730382
46300	43419002
46400	30953122
46500	45412582
46600	28282480
46700	27015607
46800	46010843
46900	30636435
47000	48939654
47100	35090004
47200	40542067
47300	26107270
47400	45097520
47500	30989547
47600	48123459
47700	31733615
47800	41936115
47900	28837654
48000	44052145
48100	27649790
48200	43693246
48300	27878085
48400	46773666
48500	39097278
48600	30489228
48700	42129851
48800	30713776
48900	40030574
49000	27726993
49100	43853600
49200	30255915
49300	47001196
49400	38324332
49500	29917001
49600	41223012
49700	26420447
49800	39893137
49900	46533853
50000	31183990
50100	44221995
50200	26694769
50300	40837815
50400	45956053
50500	30783997
50600	39603388
50700	27251980
50800	43057228
50900	40758257
51000	33951962
51100	43234213
51200	42438849
51300	30279220
51400	40322323
51500	48224470
51600	30311269
51700	51434597
51800	41751437
51900	30378714
52000	41236158
52100	48465358
52200	50812053
52300	33135475
52400	42704730
52500	48380981
52600	29260044
52700	48821695
52800	44045557
52900	34866533
