N,float_result,double_result
10,0.284999996423721,0.285
20,0.308750003576279,0.30875
40,0.320937544107437,0.3209375
80,0.327109426259995,0.327109375
160,0.330214858055115,0.33021484375
320,0.331772476434708,0.3317724609375
640,0.332552522420883,0.332552490234375
1280,0.33294278383255,0.332942810058594
2560,0.333138018846512,0.333138046264648
5120,0.333235830068588,0.333235683441162
